ID,unbekannter Absender,Ansprache, Betreff, Verlinkungen, Anhang, Fremdsprache, Länge, Fehlerquote, Spam
160,Ja,anonym,Nein,Nein,Nein,Ja,730,0.02,Nein
161,Nein,Name,Ja,Ja,Nein,Nein,300,0.01,Nein
162,Nein,Name,Ja,Ja,Ja,Nein,440,0.02,Ja
163,Ja,anonym,Nein,Nein,Nein,Ja,670,0.01,Nein
164,Nein,Name,Nein,Ja,Ja,Ja,300,0.02,Ja
165,Ja,anonym,Ja,Nein,Ja,Nein,520,0.01,Nein
166,Nein,Name,Nein,Nein,Ja,Ja,760,0.03,Ja
167,Nein,Name,Nein,Ja,Nein,Nein,530,0.02,Nein
168,Ja,anonym,Nein,Ja,Ja,Ja,790,0.01,Ja
169,Nein,Name,Ja,Nein,Nein,Nein,230,0.02,Nein
170,Nein,Name,Nein,Ja,Nein,Ja,470,0.01,Nein
171,Ja,anonym,Nein,Nein,Ja,Nein,580,0.02,Ja
172,Nein,Name,Nein,Ja,Nein,Ja,310,0.01,Nein
173,Nein,Name,Nein,Ja,Ja,Nein,360,0.03,Ja
174,Ja,anonym,Ja,Nein,Nein,Ja,610,0.02,Nein
175,Nein,Name,Nein,Ja,Nein,Nein,310,0.01,Nein
176,Ja,anonym,Nein,Nein,Ja,Ja,740,0.03,Ja
177,Nein,Name,Ja,Ja,Ja,Nein,470,0.02,Nein
178,Ja,anonym,Nein,Nein,Nein,Ja,730,0.01,Nein
179,Nein,Name,Ja,Ja,Nein,Nein,300,0.02,Nein
180,Nein,Name,Ja,Ja,Ja,Nein,440,0.01,Nein
181,Ja,anonym,Nein,Ja,Ja,Ja,540,0.03,Ja
182,Nein,Name,Nein,Nein,Ja,Ja,290,0.02,Nein
183,Ja,anonym,Nein,Ja,Ja,Nein,640,0.01,Nein
184,Nein,Name,Ja,Ja,Ja,Ja,450,0.02,Ja
185,Nein,Name,Nein,Nein,Ja,Ja,690,0.01,Nein
186,Ja,anonym,Nein,Ja,Nein,Nein,560,0.02,Ja
187,Nein,Name,Nein,Nein,Ja,Ja,350,0.01,Nein
188,Ja,anonym,Ja,Nein,Ja,Nein,590,0.03,Ja
189,Nein,Name,Ja,Ja,Nein,Nein,310,0.02,Nein
190,Nein,Name,Nein,Nein,Nein,Nein,200,0.01,Nein
191,Ja,anonym,Nein,Ja,Ja,Ja,750,0.02,Ja
192,Ja,anonym,Nein,Ja,Nein,Nein,510,0.01,Nein
193,Nein,Name,Nein,Nein,Ja,Ja,660,0.02,Ja
194,Ja,anonym,Nein,Nein,Nein,Ja,510,0.01,Nein
195,Nein,Name,Ja,Ja,Ja,Nein,780,0.02,Ja
196,Ja,anonym,Nein,Nein,Nein,Ja,530,0.01,Nein
197,Nein,Name,Nein,Ja,Ja,Ja,680,0.02,Ja
198,Ja,anonym,Ja,Nein,Ja,Nein,400,0.01,Nein
199,Nein,Name,Ja,Ja,Ja,Ja,490,0.03,Ja
200,Ja,anonym,Nein,Nein,Nein,Ja,730,0.02,Nein
